Url,Name,Address,Phone,Latitude,Longitude,Category,Price,RatingAverage,TotalReviews
https://www.yelp.it/biz/da-paolo-bari,'Da Paolo','Via Quintino Sella 13A 70122 Bari','080 5211662',?,?,'Pizzerie; Cucina italiana; Piatti a base di pesce',2,4.5,7
https://www.yelp.it/biz/frulez-bari,Frulez,'Piazza Umberto I 14 70121 Bari','080 5239827',?,?,'Dolci; Bistrot; Frullati/Succhi/Centrifugati',2,4.5,8
https://www.yelp.it/biz/antica-gelateria-gentile-bari,'Antica Gelateria Gentile','Piazza Federico II di Svevia 33 70122 Bari','339 1316681',?,?,Gelaterie,1,5,4
https://www.yelp.it/biz/la-uascezze-bari,'La Uascezze','Vico Sant  Agostino 2 70129 Bari','080 5236023',?,?,'Cucina italiana',2,4.5,5
https://www.yelp.it/biz/sandrino-bari-2,Sandrino,'Piazza Mercantile 3 70122 Bari','389 5993966',?,?,'Yogurterie; Gelaterie; Dolci',1,5,4
https://www.yelp.it/biz/shodai-bari,Shodai,'Piazza Giuseppe Massari 23 70122 Bari','080 5283589',?,?,'Cucina giapponese; Sushi bar',4,4,8
https://www.yelp.it/biz/pizzeria-di-cosimo-bari,'Pizzeria di Cosimo','Via Giovanni Modugno 31 70124 Bari','080 5041513',?,?,'Pizzerie; Panzerotti',1,5,3
https://www.yelp.it/biz/biancofiore-bari,Biancofiore,'Corso Vittorio Emanuele II 13 70122 Bari','080 5235446',?,?,'Cucina pugliese',2,4,6
https://www.yelp.it/biz/osteria-sopravento-bari-2,'Osteria Sopravento','Strada Vallisa 56 70122 Bari','335 6301019',?,?,'Cucina italiana; Trattorie',2,4,5
https://www.yelp.it/biz/martinucci-bari-2,Martinucci,'Piazza Mercantile 3 70122 Bari','080 5211142',?,?,'Dolci; Caffè; Pasticcerie',2,5,3
https://www.yelp.it/biz/bar-telebari-bari,'Bar Telebari','Giuseppe Fanelli 221/C Via 70019 Bari','080 5020626',?,?,Gelaterie,1,4.5,5
https://www.yelp.it/biz/gyrosteria-yannis-bari-2,'Gyrosteria Yannis','Via Domenico Nicolai 11 70121 Bari','080 5214797',?,?,'Cucina greca',2,4.5,4
https://www.yelp.it/biz/osteria-al-gambero-bari,'Osteria Al Gambero','Corso Antonio de Tullio 8 70122 Bari','080 5216018',?,?,'Cucina italiana; Piatti a base di pesce',2,4.5,3
https://www.yelp.it/biz/eataly-bari,Eataly,'Lungomare Starita 4 70123 Bari',null,?,?,'Cucina italiana',3,4,4
https://www.yelp.it/biz/ai-2-ghiottoni-bari-2,'AI 2 Ghiottoni','Via Nicolo  Putignani 11B 70122 Bari','080 5232240',?,?,'Cucina italiana; Piatti a base di pesce',3,4,6
https://www.yelp.it/biz/bari-napoli-bari,'Bari Napoli','Via Piccinni 187 70122 Bari','080 9905452',?,?,'Pizzerie; Cucina napoletana',2,4,8
https://www.yelp.it/biz/il-rustico-bari,'Il Rustico','Via Quintino Sella 95 70122 Bari','080 5216727',?,?,Pizzerie,1,4.5,4
https://www.yelp.it/biz/joys-pub-bari,'Joy’s Pub','Corso Sonnino Sidney 137 70121 Bari','080 5542854',?,?,'Cucina irlandese; Arene/Sale da concerto; Pub',1,4.5,3
https://www.yelp.it/biz/blue-eyes-bari,'Blue Eyes','Via Muciacia 70125 Bari',null,?,?,'Cucina italiana; Bistrot',1,5,2
https://www.yelp.it/biz/pizzeria-enzo-e-ciro-di-fraddosio-v-c-bari,'Pizzeria Enzo e Ciro di Fraddosio V. C.','Via Imbriani 79 70121 Bari','080 5541535',?,?,Pizzerie,2,4,5
https://www.yelp.it/biz/napul-e-bari,'Napul’ E','Via Scipione Crisanzio 47 70122 Bari','080 9909934',?,?,Pizzerie,2,5,2
https://www.yelp.it/biz/matti-brown-bari,'Matti Brown','Piazza del Ferrarese 17 70122 Bari','392 3689925',?,?,Bar,2,5,2
https://www.yelp.it/biz/la-tana-del-polpo-bari,'La Tana del Polpo','Via Vallisa 50 70122 Bari','080 9753338',?,?,'Cucina italiana',3,4.5,3
https://www.yelp.it/biz/el-churrasco-bari-2,'El Churrasco','Via Guido Dorso 57 70125 Bari','080 5024367',?,?,'Cucina italiana',2,4.5,3
https://www.yelp.it/biz/la-cecchina-bari,'La Cecchina','Piazza Mercantile 31 70122 Bari','080 5214147',?,?,'Cucina italiana',2,4.5,4
https://www.yelp.it/biz/ristopizza-giampaolo-bari,'Ristopizza Giampaolo','Via Francesco Lombardi 18 70122 Bari','080 5238828',?,?,Pizzerie,3,5,3
https://www.yelp.it/biz/il-gelatiere-bari-3,'Il Gelatiere','Viale Antonio Salandra 37 70124 Bari','080 5424203',?,?,Gelaterie,1,5,2
https://www.yelp.it/biz/ciclatera-sotto-il-mare-bari,'Ciclatera sotto il Mare','Via Venezia 16 70122 Bari','375 5695737',?,?,'Cocktail bar; Pub; Caffè',2,5,2
https://www.yelp.it/biz/gasperini-bari,Gasperini,'corso cavour Bari',null,?,?,Gelaterie,1,4.5,2
https://www.yelp.it/biz/osteria-le-arpie-bari,'Osteria Le Arpie','Vico Arco Del Carmine 1 Bari','080 5217988',?,?,Bistrot,3,4.5,2
https://www.yelp.it/biz/dublin-house-bari,'Dublin House','Strada Calvani 70125 Bari',null,?,?,'Irish pub',4,4,3
https://www.yelp.it/biz/pizzeria-da-donato-bari,'Pizzeria Da Donato','Via Francesco Lattanzio 59 70126 Bari','080 5542903',?,?,Pizzerie,2,3.5,5
'https://www.yelp.it/biz/bilab\%C3\%AC-bari',Bilabì,'Via Adolfo Omodeo 12 70125 Bari','080 8976081',?,?,'Birreria; Panini/Sandwich',2,5,1
https://www.yelp.it/biz/hagakure-bari,Hagakure,'Via Posca 11 Ex Prol Via Caccuri 70124 Bari','080 5042462',?,?,'Cucina giapponese; Cucina fusion asiatica',2,4.5,2
https://www.yelp.it/biz/botta-bari,Botta,'Via Gian Giuseppe Carulli 71 70121 Bari','080 5588603',?,?,'Pizzerie; Trattorie; Cucina pugliese',2,4.5,2
https://www.yelp.it/biz/gadi-bari,Gadi,'Via Niccolò Piccinni 14 70122 Bari',null,?,?,Yogurterie,null,5,1
https://www.yelp.it/biz/porto-di-bari-bari-2,'Porto di Bari','Molo San Vito 70123 Bari',null,?,?,'Monumenti/Luoghi storici e d interesse',null,4,2
https://www.yelp.it/biz/tadadatta-pub-bari,'tadadatta pub','via Corsioli 10 Bari',null,?,?,Pub,2,4,2
https://www.yelp.it/biz/mojiteria-bari-2,Mojiteria,'Via Manfredi Azzarita 2 70124 Bari','392 3608124',?,?,Bar,2,5,1
https://www.yelp.it/biz/osteria-antichi-sapori-bari,'Osteria Antichi Sapori','Via Re Manfredi 16 70122 Bari','366 1443881',?,?,'Dolci; Piatti a base di pesce; Cucina pugliese',2,4.5,2
https://www.yelp.it/biz/black-e-white-bari,'Black & White','Piazza Mercantile 77 70122 Bari','080 5217193',?,?,'Cucina italiana',3,4,2
https://www.yelp.it/biz/osteria-dei-quattro-gatti-bari,'Osteria dei Quattro Gatti','Via Ciasca Cardinale Agostino 17 70124 Bari','080 5043446',?,?,'Cucina pugliese',2,5,1
https://www.yelp.it/biz/parco-2-giugno-bari,'Parco 2 giugno','Via della Costituente 70125 Bari',null,?,?,Parchi,null,5,1
https://www.yelp.it/biz/pizzeria-baraonda-bari,'Pizzeria Baraonda','Via Devitofrancesco 29 70124 Bari','329 4372563',?,?,Pizzerie,2,5,1
https://www.yelp.it/biz/il-rosticciere-bari,'Il Rosticciere','Via Re David Bari',null,?,?,'Cucina italiana',3,5,1
https://www.yelp.it/biz/cantinero-de-cuba-bari,'Cantinero De Cuba','Via Francesco Lattanzio 14 70126 Bari','080 9640740',?,?,Bar,3,5,1
https://www.yelp.it/biz/storie-del-vecchio-sud-bari,'Storie del Vecchio Sud','Via Buccari 120 70124 Bari','347 6368837',?,?,Pub,1,5,1
https://www.yelp.it/biz/perbacco-bari,Perbacco,'Via Francesco Saverio Abbrescia 99 70121 Bari','080 5588563',?,?,'Cucina pugliese',2,5,1
'https://www.yelp.it/biz/max-caff\%C3\%A9-bari','Max caffé','Via Paolo Lembo 12 70124 Bari','390 805421155',?,?,'Caffè; Caffè/Tè; Caffetteria',1,5,1
https://www.yelp.it/biz/le-grand-tabu-bari,'Le Grand Tabu’','Via De Rossi 187 70122 Bari','080 5207098',?,?,'Caffè; Bistrot; Cucina mediterranea',1,5,1
https://www.yelp.it/biz/farmacia-dei-sani-bari,'Farmacia Dei Sani','Via Roberto Da Bari 104 70122 Bari',null,?,?,'Cucina italiana',2,5,1
https://www.yelp.it/biz/stoppani-gaspare-bari-2,'Stoppani Gaspare','Via Roberto Da Bari 79 70122 Bari','080 5213563',?,?,'Bar; Caffè',1,5,1
https://www.yelp.it/biz/il-dolcetto-bari,'Il Dolcetto','Via de Rossi 148 70122 Bari','080 9756749',?,?,'Creperie; Dolci; Caffè',1,5,1
https://www.yelp.it/biz/al-savoia-bari,'Al Savoia','Via Alessandro Maria Calefati 61B 70121 Bari','080 5212525',?,?,'Caffè; Gelaterie',2,5,1
https://www.yelp.it/biz/mastro-ciccio-bari,'Mastro Ciccio','Corso Vittorio Emanuele II 15 70122 Bari','080 5210001',?,?,'Pizzerie; Panini/Sandwich; Friggitorie',2,5,1
https://www.yelp.it/biz/parco-don-tonino-bello-bari,'Parco Don Tonino Bello','viale de laurentis 70124 Bari',null,?,?,Parchi,null,5,1
'https://www.yelp.it/biz/cib\%C3\%B2-bari',Cibò,'Piazza Mercantile 29 70122 Bari','339 7956736',?,?,'Cucina pugliese; Panzerotti',1,5,1
'https://www.yelp.it/biz/ci\%C3\%A0nna-ci\%C3\%A0nne-bari','Ciànna Ciànne','Vico Corsioli 3 70122 Bari','8052 89382',?,?,'Cucina italiana',null,5,1
https://www.yelp.it/biz/museo-nicolaiano-bari,'Museo Nicolaiano','Largo Abate Elia 13 70122 Bari',null,?,?,Musei,null,5,1
https://www.yelp.it/biz/caffe-mozart-bari,'Caffe’ Mozart','Via Melo DA Bari 139 70121 Bari','080 5245015',?,?,Bar,1,4.5,2
